Datetime,Humidity(%),Temperature(C)
2026-02-17 12:00:00,84.56682028,5.52718894
2026-02-17 13:00:00,86.77664975,5.018274112
2026-02-17 14:00:00,84.38440111,5.329805014
2026-02-17 15:00:00,84.15041783,4.780501393
2026-02-17 16:00:00,87,4.274094708
2026-02-17 17:00:00,87,3.54902507
2026-02-17 18:00:00,87,3.175487465
2026-02-17 19:00:00,87,2.675208914
2026-02-17 20:00:00,86.86350975,2.144568245
2026-02-17 21:00:00,86.72423398,2.093036212
2026-02-17 22:00:00,86.06963788,1.534261838
2026-02-17 23:00:00,86,1.523955432
2026-02-18 00:00:00,86,1.267966574
2026-02-18 01:00:00,86,1.230083565
2026-02-18 02:00:00,86,0.540668524
2026-02-18 03:00:00,86,0.753203343
2026-02-18 04:00:00,86,0.89637883
2026-02-18 05:00:00,86,1.072980501
2026-02-18 06:00:00,86,0.742618384
2026-02-18 07:00:00,86,1.130083565
2026-02-18 08:00:00,86,1.245170455
2026-02-18 09:00:00,86,1.103342618
2026-02-18 10:00:00,86.14763231,1.71281337
2026-02-18 11:00:00,86.49582173,1.967966574
2026-02-18 12:00:00,85.95264624,3.443732591
2026-02-18 13:00:00,84.30083565,3.642896936
2026-02-18 14:00:00,80.08635097,3.754317549
2026-02-18 15:00:00,76.9275766,3.332590529
2026-02-18 16:00:00,86.43454039,1.925069638
2026-02-18 17:00:00,86,1.053760446
2026-02-18 18:00:00,86,0.578272981
2026-02-18 19:00:00,86,0.38356546
2026-02-18 20:00:00,86,-0.201114206
2026-02-18 21:00:00,86,-0.870194986
2026-02-18 22:00:00,86,-0.420334262
2026-02-18 23:00:00,86,-0.238718663
2026-02-19 00:00:00,86,-0.803899721
2026-02-19 01:00:00,86,-2.103064067
2026-02-19 02:00:00,86,-2.366852368
2026-02-19 03:00:00,85.35933148,-3.562674095
2026-02-19 04:00:00,85,-3.626666667
2026-02-19 05:00:00,85,-3.401392758
2026-02-19 06:00:00,85.06128134,-3.678272981
2026-02-19 07:00:00,85.69359331,-3.2
2026-02-19 08:00:00,86,-2.489971347
2026-02-19 09:00:00,86,-1.511142061
2026-02-19 10:00:00,85.94707521,-0.55821727
2026-02-19 11:00:00,83.67409471,2.274651811
2026-02-19 12:00:00,86,1.012256267
2026-02-19 13:00:00,86.02506964,1.17632312
2026-02-19 14:00:00,86.01114206,1.273259053
2026-02-19 15:00:00,86.05571031,1.737325905
2026-02-19 16:00:00,86,1.381615599
2026-02-19 17:00:00,86,0.464902507
2026-02-19 18:00:00,86,-0.303064067
2026-02-19 19:00:00,86,-0.875766017
2026-02-19 20:00:00,86,-1.817270195
2026-02-19 21:00:00,86,-2.525626741
2026-02-19 22:00:00,85.69359331,-3.051810585
2026-02-19 23:00:00,85.00557103,-3.759052925
2026-02-20 00:00:00,85,-3.415320334
2026-02-20 01:00:00,85,-3.266852368
2026-02-20 02:00:00,85,-4.367130919
2026-02-20 03:00:00,85,-4.727576602
2026-02-20 04:00:00,85,-4.793593315
2026-02-20 05:00:00,85,-4.601392758
2026-02-20 06:00:00,85,-4.635376045
2026-02-20 07:00:00,85,-4.696388889
2026-02-20 08:00:00,84.81564246,-3.281005587
2026-02-20 09:00:00,78.87465181,-1.963788301
2026-02-20 10:00:00,61.64327485,0.971929825
2026-02-20 11:00:00,60.55988858,1.56545961
2026-02-20 12:00:00,65.43175487,-0.044011142
2026-02-20 13:00:00,63.35933148,0.273259053
2026-02-20 14:00:00,60.50139276,1.061002786
2026-02-20 15:00:00,57.48746518,1.572144847
2026-02-20 16:00:00,60.61002786,0.902506964
2026-02-20 17:00:00,67.95264624,-0.50724234
2026-02-20 18:00:00,79.93314763,-1.8454039
2026-02-20 19:00:00,82.36490251,-1.638997214
2026-02-20 20:00:00,83.1810585,-2.44735376
2026-02-20 21:00:00,83.86072423,-2.763509749
2026-02-20 22:00:00,82.28690808,-2.665738162
2026-02-20 23:00:00,80.5264624,-1.586629526
2026-02-21 00:00:00,85.73537604,-1.492200557
2026-02-21 01:00:00,86,-1.36183844
2026-02-21 02:00:00,86,-0.22729805
2026-02-21 03:00:00,86,-0.558774373
2026-02-21 04:00:00,86,-0.754874652
2026-02-21 05:00:00,86,-0.31810585
2026-02-21 06:00:00,86,0.353760446
2026-02-21 07:00:00,86,0.783286908
2026-02-21 08:00:00,86.51002865,2.222636103
2026-02-21 09:00:00,87,3.695821727
2026-02-21 10:00:00,87.41225627,4.962952646
2026-02-21 11:00:00,86.42061281,6.563231198
2026-02-21 12:00:00,81.79387187,8.2
2026-02-21 13:00:00,75.88579387,9.023119777
2026-02-21 14:00:00,77.26740947,8.746796657
2026-02-21 15:00:00,81.6183844,8.314206128
2026-02-21 16:00:00,82.21448468,8.213649025
2026-02-21 17:00:00,86.69916435,7.586072423
2026-02-21 18:00:00,88,7.255431755
2026-02-21 19:00:00,88,6.871030641
2026-02-21 20:00:00,88,6.548467967
2026-02-21 21:00:00,88,6.228969359
2026-02-21 22:00:00,88,5.993871866
2026-02-21 23:00:00,88,5.722562674
2026-02-22 00:00:00,88,5.655153203
2026-02-22 01:00:00,88,5.741504178
2026-02-22 02:00:00,88,5.189972145
2026-02-22 03:00:00,88,5.657381616
2026-02-22 04:00:00,88,6.147910864
2026-02-22 05:00:00,88,6.403899721
2026-02-22 06:00:00,88,7.264902507
2026-02-22 07:00:00,88,7.052089136
2026-02-22 08:00:00,88,7.772144847
2026-02-22 09:00:00,88,8.539832869
2026-02-22 10:00:00,88,9.217270195
2026-02-22 11:00:00,88,10.34373259
2026-02-22 12:00:00,88,9.616216216
